id,name,product_group_name,stock_method,active,store_name,revenue_group_name,revenue,invoice_quantity,credit_quantity,invoice_count,credit_count,average_invoice_revenue,average_revenue
26,Arri 150W Fresnel,Lighting,1,t,Habibi Film Rentals,Habibi / Chris Harmsworth,15.0000,1.0000,0,1,0,15.0000,15.0000
25,Arri 300W Fresnel,Lighting,1,t,Habibi Film Rentals,Habibi / Chris Harmsworth,20.0000,1.0000,0,1,0,20.0000,20.0000
24,Arri 650W Fresnel,Lighting,1,t,Habibi Film Rentals,Habibi / Chris Harmsworth,75.0000,2.0000,0,2,0,37.5000,37.5000
23,Canon CN-E 135mm Prime T2.2,Cine Lenses,2,t,Habibi Film Rentals,Rental,0.0000,1.0000,0,1,0,0.0000,0.0000
16,Canon CN-E 14mm Prime T3.1,Cine Lenses,2,t,Habibi Film Rentals,Rental,0.0000,1.0000,0,1,0,0.0000,0.0000
19,Canon CN-E 24mm Prime T1.5,Cine Lenses,2,t,Habibi Film Rentals,Rental,0.0000,1.0000,0,1,0,0.0000,0.0000
20,Canon CN-E 35mm Prime T1.5,Cine Lenses,2,t,Habibi Film Rentals,Rental,0.0000,1.0000,0,1,0,0.0000,0.0000
21,Canon CN-E 50mm Prime T1.3,Cine Lenses,2,t,Habibi Film Rentals,Rental,0.0000,1.0000,0,1,0,0.0000,0.0000
22,Canon CN-E 85mm Prime T1.3,Cine Lenses,2,t,Habibi Film Rentals,Rental,0.0000,1.0000,0,1,0,0.0000,0.0000
15,Canon CN-E Prime Lens Set,Cine Lenses,2,t,Habibi Film Rentals,Rental,800.0000,1.0000,0,1,0,800.0000,800.0000
10,LANC Cable,Camera Accessory,1,t,Habibi Film Rentals,Rental,0.0000,6.0000,0,2,0,0.0000,0.0000
17,Lens Back Cap,Cine Lens Accessory,1,t,Habibi Film Rentals,Rental,0.0000,6.0000,0,1,0,0.0000,0.0000
18,Lens Cap,Cine Lens Accessory,1,t,Habibi Film Rentals,Rental,0.0000,6.0000,0,1,0,0.0000,0.0000
8,Sandisk 128GB CFast2.0 Memory Card,Media,1,t,Habibi Film Rentals,Rental,0.0000,4.0000,0,2,0,0.0000,0.0000
9,Sandisk CFast Card Reader,Media,2,t,Habibi Film Rentals,Rental,0.0000,2.0000,0,2,0,0.0000,0.0000
12,SmallRig Top Cheese Plate - UMP,Camera Accessory,2,t,Habibi Film Rentals,Rental,0.0000,2.0000,0,2,0,0.0000,0.0000
11,UMP AC Adaptor,Camera Accessory,2,t,Habibi Film Rentals,Rental,0.0000,2.0000,0,2,0,0.0000,0.0000
6,UMP Shoulder Pad,Camera Accessory,2,t,Habibi Film Rentals,Rental,0.0000,2.0000,0,2,0,0.0000,0.0000
4,UMP Side Handle,Camera Accessory,2,t,Habibi Film Rentals,Rental,0.0000,2.0000,0,2,0,0.0000,0.0000
5,UMP Top Handle,Camera Accessory,2,t,Habibi Film Rentals,Rental,0.0000,2.0000,0,2,0,0.0000,0.0000
3,Ursa Mini Pro 4.6K Camera Kit,Cinema Camera,2,t,Habibi Film Rentals,Rental,1000.0000,2.0000,0,2,0,500.0000,500.0000
7,VCT Plate,Camera Accessory,2,t,Habibi Film Rentals,Rental,0.0000,2.0000,0,2,0,0.0000,0.0000
13,Wooden Camera UMP Side Plate,Camera Accessory,2,t,Habibi Film Rentals,Rental,0.0000,2.0000,0,2,0,0.0000,0.0000
